pm10,pm2_5,co,no2,o3,so2
11.0,34.0,0.1,4.6,21.6,1.5
48.0,39.0,0.1,10.3,12.0,2.0
16.0,30.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,14.1,1.5
85.0,89.0,3.7,9.6,47.6,3.1
15.0,35.0,0.1,10.7,21.6,2.3
31.0,73.0,5.2,7.8,22.1,4.2
16.0,102.0,2.3,6.5,21.6,1.5
16.0,61.0,2.3,6.5,21.6,1.5
11.0,34.0,2.3,6.1,26.4,0.7
15.0,34.0,2.8,2.8,40.7,3.1
10.0,21.0,0.1,2.8,28.1,1.5
20.0,46.0,0.1,24.7,31.3,1.5
20.0,33.0,2.3,6.9,23.2,1.5
14.0,30.0,2.8,1.9,21.6,1.5
14.0,22.0,0.1,8.7,28.1,1.1
10.0,20.0,12.7,1.6,21.6,1.0
16.0,42.0,5.3,6.3,6.6,3.6
16.0,6.0,2.3,6.5,21.6,1.5
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
16.0,30.0,2.3,1.4,29.9,0.3
24.0,55.0,0.1,18.3,21.6,0.5
17.0,36.0,0.1,19.2,16.4,0.5
15.0,10.0,6.7,20.5,0.8,0.3
17.0,49.0,2.3,1.5,21.6,1.5
16.0,34.0,2.3,6.5,16.8,1.5
60.0,55.0,3.5,3.1,21.6,1.5
12.0,30.0,0.1,4.6,22.4,1.6
56.0,120.0,0.1,42.0,21.6,1.5
16.0,30.0,2.3,2.5,20.0,0.3
13.0,30.0,0.6,6.5,21.6,2.9
17.0,26.0,0.1,0.6,10.5,1.9
16.0,42.0,2.3,6.5,21.6,1.5
16.0,120.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,21.6,1.5
16.0,34.0,2.3,6.5,21.6,1.5
23.0,64.0,6.5,6.0,9.3,2.6
4.0,13.0,0.1,6.5,31.9,1.0
12.0,31.0,2.3,2.8,30.2,0.6
16.0,45.0,2.3,13.0,28.6,1.5
29.0,30.0,0.1,7.8,12.4,1.6
16.0,30.0,2.3,6.5,21.6,1.5
11.0,41.0,1.5,3.8,8.0,0.8
21.0,53.0,10.0,34.3,6.4,1.5
26.0,40.0,1.0,6.5,13.0,0.1
11.0,30.0,0.1,17.0,21.6,1.5
110.0,93.0,1.3,1.6,11.6,14.9
16.0,30.0,2.3,6.5,21.6,1.5
16.0,12.0,2.3,6.5,21.6,1.5
16.0,5.0,2.3,6.5,21.6,1.5
32.0,52.0,0.1,33.6,20.5,0.6
34.0,99.0,2.3,5.0,25.2,0.7
16.0,1.0,2.3,1.0,28.9,1.5
12.0,16.0,2.3,6.5,0.1,1.5
28.0,68.0,2.2,16.2,1.6,1.5
12.0,25.0,5.9,29.1,27.4,3.9
81.0,170.0,11.8,18.3,94.2,6.1
40.0,76.0,6.4,18.8,45.5,4.1
21.0,28.0,1.2,1.0,18.4,1.5
9.0,1.0,3.4,9.3,37.6,1.5
16.0,17.0,1.9,4.2,30.4,0.2
16.0,30.0,2.1,1.7,47.2,0.3
16.0,23.0,0.1,9.2,1.7,1.5
11.0,34.0,0.1,4.6,21.6,1.5
48.0,39.0,0.1,10.3,12.0,2.0
16.0,30.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,14.1,1.5
10.0,1.0,3.4,7.5,36.8,4.3
15.0,35.0,0.1,10.7,21.6,2.3
9.0,64.0,2.3,2.3,29.3,12.6
9.0,64.0,2.3,2.3,29.3,12.6
5.0,13.0,2.3,3.2,27.3,1.5
16.0,68.0,2.3,6.5,21.6,1.5
18.0,34.0,2.3,6.5,21.6,1.5
16.0,21.0,4.5,7.0,15.2,1.5
16.0,13.0,2.3,5.7,25.6,1.5
16.0,45.0,2.3,13.0,28.6,1.5
10.0,22.0,0.1,3.2,11.0,0.3
11.0,75.0,6.7,44.0,6.2,1.8
56.0,120.0,0.1,42.0,21.6,1.5
